feature,importance
RRCO__max,0.00020373511014374086
HUP__last,0.0001996914155162934
TPCT__last,0.00018503363365222745
WRCB__std,0.00018118699166615838
WLD__min,0.00017379875187898352
P__delta,0.00017288191524601656
RRCO__mean,0.0001466312441205754
RRCA__max,0.00012818820180419803
WCHG__last,0.00012380333198970455
TFSB__last,0.00012113840889627038
WHPI__last,0.0001146387196811584
TAVG__min,0.00010941081326010166
RRCA__mean,9.976167588757469e-05
WCSP__mean,9.890590133644414e-05
RRCB__delta,9.534547840634725e-05
RRCO__delta,9.369525740727134e-05
TSLP__last,9.364147273776725e-05
TF__min,9.207280622403574e-05
RRCB__std,8.285032894297213e-05
TPCT__delta,8.107508208720912e-05
WUP__std,5.9130749342408095e-05
RRCA__last,5.767732532227598e-05
TFPK__delta,5.739740364899301e-05
STRB__last,5.7297014835791447e-05
SGLK__max,5.11691833785134e-05
MH2__std,4.70818915964818e-05
TSLP__mean,4.554905065421272e-05
VOID__mean,4.5150814831562066e-05
WCFT__max,3.691605329126708e-05
FRCL__std,3.5720553172620615e-05
WHPI__mean,3.211830852583829e-05
WRLB__std,2.617105973533502e-05
WRLA__std,2.3417667330548198e-05
TFPK__last,2.179696866027564e-05
FRCL__mean,2.1759155548889676e-05
RRCB__min,2.060381171985547e-05
WSPY__mean,1.4290424616755926e-05
WCFT__mean,1.3034237503284129e-05
TSLP__std,1.2933019574452883e-05
TBLD__delta,7.995749744232253e-06
TKLV__max,7.753972059346985e-06
LVCR__std,5.663243660786152e-06
WSPY__max,5.391102651890504e-06
FRZR__last,8.585918606749066e-07
HTR__last,6.692697158353164e-18
WSPY__last,6.353613133328511e-18
TSAT__max,5.461042277998708e-18
WSPY__delta,3.748754671440573e-18
WRLA__mean,3.6557163190948644e-18
SGLK__delta,3.2514614095117496e-18
WUP__delta,2.841863805195475e-18
WRCB__min,1.7501420797152087e-18
LWRB__min,1.4759947318745737e-18
STSG__mean,1.4544175091064266e-18
WCFT__last,1.14801197854362e-18
WUP__last,1.105402769560915e-18
SGLK__mean,1.0328485725966982e-18
LVCR__min,1.0206540177447135e-18
TDBR__last,9.79529382972348e-19
TDBR__std,6.775785038060983e-19
WLPI__delta,5.65936210660754e-19
TSLP__delta,5.5257518211747525e-19
TDBR__max,4.512529619560182e-19
WCFT__delta,3.719916580810696e-19
STSG__max,3.3201086874032e-19
CNH2__mean,3.173641349799849e-19
LVCR__mean,3.052929961924938e-19
MH2__last,3.0318696125186107e-19
RRCA__min,2.7507422826059114e-19
WRCB__last,2.596394617911007e-19
WRLB__mean,2.3733706355362446e-19
VOID__max,2.3569286298239762e-19
MH2__max,2.2606510101939873e-19
CNH2__delta,2.0200176858165953e-19
FRZR__mean,1.8309097390523295e-19
WRCA__min,1.8217599645277677e-19
LVCR__delta,1.7973885181642027e-19
TDBR__delta,1.7507079404820064e-19
